Temporal Difference ,Q-Learning,TD increase,Average Reward-TD,,Average Reward increase
-42,-370,881%,,,
-114,-370,325%,,,
-35,-343,980%,,,
3,-406,-13533%,,,
10,-406,-4060%,,,
9,-433,-4811%,,,
-6,-334,5567%,,,
-4,-433,10825%,,,
10,-406,-4060%,,,
-22,-325,1477%,,,
-9,-379,4211%,,,
13,-343,-2638%,,,
-17,-460,2706%,,,
8,-433,-5413%,,,
9,-361,-4011%,,,
-9,-334,3711%,,,
-58,-424,731%,,,
-143,-442,309%,,,
9,-433,-4811%,,,
-143,-424,297%,,,
-21,-406,1933%,,,
2,-334,-16700%,,,
-22,-352,1600%,,,
-24,-442,1842%,,,
6,-343,-5717%,,,
8,-424,-5300%,,,
-14,-298,2129%,,,
8,-370,-4625%,,,
13,-379,-2915%,,,
-1,-397,39700%,,,
3,-379,-12633%,,,
5,-352,-7040%,,,
-2,-316,15800%,,,
4,-397,-9925%,,,
-50,-442,884%,,,
-36,-397,1103%,,,
-2,-397,19850%,,,
4,-72,-1800%,,,
-32,-361,1128%,,,
6,-96,-1600%,,,
12,-415,-3458%,,,
13,-343,-2638%,,,
-84,-397,473%,,,
-21,-379,1805%,,,
9,-406,-4511%,,,
-5,-370,7400%,,,
9,-460,-5111%,,,
10,-487,-4870%,,,
8,-415,-5188%,,,
-42,-451,1074%,,,
4,-388,-9700%,,,
14,-451,-3221%,,,
8,-361,-4513%,,,
4,-298,-7450%,,,
-4,-370,9250%,,,
5,-514,-10280%,,,
11,-424,-3855%,,,
-14,-451,3221%,,,
-24,-379,1579%,,,
11,-370,-3364%,,,
-58,-388,669%,,,
-24,-388,1617%,,,
2,-415,-20750%,,,
1,-397,-39700%,,,
14,-325,-2321%,,,
14,-352,-2514%,,,
9,-388,-4311%,,,
10,-406,-4060%,,,
3,-388,-12933%,,,
-6,-379,6317%,,,
15,-433,-2887%,,,
8,-451,-5638%,,,
-3,-343,11433%,,,
2,-406,-20300%,,,
-5,-379,7580%,,,
-26,-388,1492%,,,
3,-379,-12633%,,,
5,-406,-8120%,,,
-37,-325,878%,,,
-153,-361,236%,,,
8,-352,-4400%,,,
10,-460,-4600%,,,
2,-325,-16250%,,,
-60,-370,617%,,,
14,-415,-2964%,,,
-17,-343,2018%,,,
-47,-451,960%,,,
6,-397,-6617%,,,
11,-442,-4018%,,,
-17,-397,2335%,,,
-37,-424,1146%,,,
-26,-442,1700%,,,
11,-370,-3364%,,,
-9,-406,4511%,,,
0,-433,#DIV/0!,,,
6,-415,-6917%,,,
-17,-388,2282%,,,
8,-388,-4850%,,,
-12,-424,3533%,,,
9,-370,-4111%,,,
7,-406,-5800%,,,
6,-334,-5567%,,,
10,-334,-3340%,,,
-72,-424,589%,,,
6,-433,-7217%,,,
10,-167,-1670%,,,
-3,-388,12933%,,,
5,-433,-8660%,,,
